Date,Date/Time,Ride,Zone,Wait Time,Visitor Count
2024-01-02,14,Canopy Flyer,The Lost World,44.166666666666664,410
2024-01-02,14,Dino-Soarin,The Lost World,28.333333333333332,295
2024-01-02,14,Enchanted Airways,Far Far Away,7.5,36
2024-01-02,14,Jurassic Park Rapids Adventure,The Lost World,55.0,1211
2024-01-02,14,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20.0,126
2024-01-02,14,Magic Potion Spin,Far Far Away,5.0,68
2024-01-02,14,Puss In Boots’ Giant Journey,Far Far Away,45.833333333333336,650
2024-01-02,14,Revenge of the Mummy,Ancient Egypt,24.166666666666668,492
2024-01-02,14,Sesame Street Spaghetti Space Chase,New York,13.333333333333334,99
2024-01-02,14,Shrek 4-D Adventure,Far Far Away,20.0,364
2024-01-02,14,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,5.0,67
2024-01-02,14,Treasure Hunters,Ancient Egypt,40.0,851
2024-01-02,15,Accelerator,Sci-Fi City,10.0,29
2024-01-02,15,Battlestar Galactica: CYLON,Sci-Fi City,46.0,1206
2024-01-02,15,Battlestar Galactica: HUMAN,Sci-Fi City,25.0,196
2024-01-02,15,Canopy Flyer,The Lost World,45.0,753
2024-01-02,15,Dino-Soarin,The Lost World,40.0,706
2024-01-02,15,Enchanted Airways,Far Far Away,22.5,268
2024-01-02,15,Jurassic Park Rapids Adventure,The Lost World,80.0,2572
2024-01-02,15,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20.0,136
2024-01-02,15,Magic Potion Spin,Far Far Away,5.0,62
2024-01-02,15,Puss In Boots’ Giant Journey,Far Far Away,43.0,560
2024-01-02,15,Revenge of the Mummy,Ancient Egypt,13.0,660
2024-01-02,15,Sesame Street Spaghetti Space Chase,New York,5.0,11
2024-01-02,15,Shrek 4-D Adventure,Far Far Away,20.0,640
2024-01-02,15,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,5.0,147
2024-01-02,15,Treasure Hunters,Ancient Egypt,40.0,530
2024-01-02,16,Accelerator,Sci-Fi City,6.666666666666667,35
2024-01-02,16,Battlestar Galactica: CYLON,Sci-Fi City,31.666666666666668,2071
2024-01-02,16,Battlestar Galactica: HUMAN,Sci-Fi City,21.666666666666668,246
2024-01-02,16,Canopy Flyer,The Lost World,43.333333333333336,586
2024-01-02,16,Dino-Soarin,The Lost World,30.0,300
2024-01-02,16,Enchanted Airways,Far Far Away,22.5,276
2024-01-02,16,Jurassic Park Rapids Adventure,The Lost World,28.75,243
2024-01-02,16,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20.0,169
2024-01-02,16,Magic Potion Spin,Far Far Away,5.0,30
2024-01-02,16,Puss In Boots’ Giant Journey,Far Far Away,40.0,1369
2024-01-02,16,Revenge of the Mummy,Ancient Egypt,17.5,474
2024-01-02,16,Shrek 4-D Adventure,Far Far Away,20.0,724
2024-01-02,16,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,5.0,100
2024-01-02,16,Treasure Hunters,Ancient Egypt,40.0,701
2024-01-02,17,Accelerator,Sci-Fi City,5.0,38
2024-01-02,17,Battlestar Galactica: CYLON,Sci-Fi City,13.75,364
2024-01-02,17,Battlestar Galactica: HUMAN,Sci-Fi City,6.25,51
2024-01-02,17,Canopy Flyer,The Lost World,20.833333333333332,349
2024-01-02,17,Dino-Soarin,The Lost World,12.083333333333334,480
2024-01-02,17,Enchanted Airways,Far Far Away,20.0,528
2024-01-02,17,Jurassic Park Rapids Adventure,The Lost World,7.5,24
2024-01-02,17,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20.0,197
2024-01-02,17,Magic Potion Spin,Far Far Away,5.0,39
2024-01-02,17,Puss In Boots’ Giant Journey,Far Far Away,12.5,408
2024-01-02,17,Revenge of the Mummy,Ancient Egypt,5.0,115
2024-01-02,17,Shrek 4-D Adventure,Far Far Away,20.0,522
2024-01-02,17,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,5.0,15
2024-01-02,17,Treasure Hunters,Ancient Egypt,40.0,874
2024-01-02,18,Accelerator,Sci-Fi City,5.0,62
2024-01-02,18,Battlestar Galactica: CYLON,Sci-Fi City,5.0,49
2024-01-02,18,Battlestar Galactica: HUMAN,Sci-Fi City,5.0,121
2024-01-02,18,Canopy Flyer,The Lost World,24.166666666666668,247
2024-01-02,18,Dino-Soarin,The Lost World,10.0,28
2024-01-02,18,Enchanted Airways,Far Far Away,10.0,25
2024-01-02,18,Jurassic Park Rapids Adventure,The Lost World,5.0,46
2024-01-02,18,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20.0,188
2024-01-02,18,Magic Potion Spin,Far Far Away,5.0,60
2024-01-02,18,Puss In Boots’ Giant Journey,Far Far Away,17.5,140
2024-01-02,18,Revenge of the Mummy,Ancient Egypt,5.0,22
2024-01-02,18,Shrek 4-D Adventure,Far Far Away,20.0,306
2024-01-02,18,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,5.0,34
2024-01-02,18,Treasure Hunters,Ancient Egypt,26.666666666666668,315
2024-01-02,19,Accelerator,Sci-Fi City,0.0,27
2024-01-02,19,Battlestar Galactica: CYLON,Sci-Fi City,0.0,141
2024-01-02,19,Battlestar Galactica: HUMAN,Sci-Fi City,0.0,76
2024-01-02,19,Canopy Flyer,The Lost World,0.0,48
2024-01-02,19,Dino-Soarin,The Lost World,0.0,14
2024-01-02,19,Enchanted Airways,Far Far Away,0.0,93
2024-01-02,19,Jurassic Park Rapids Adventure,The Lost World,0.0,18
2024-01-02,19,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,0.0,91
2024-01-02,19,Magic Potion Spin,Far Far Away,0.0,17
2024-01-02,19,Puss In Boots’ Giant Journey,Far Far Away,0.0,63
2024-01-02,19,Revenge of the Mummy,Ancient Egypt,0.0,123
2024-01-02,19,Shrek 4-D Adventure,Far Far Away,0.0,99
2024-01-02,19,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,0.0,39
2024-01-02,19,Treasure Hunters,Ancient Egypt,0.0,8
2024-01-03,10,Accelerator,Sci-Fi City,5.0,43
2024-01-03,10,Battlestar Galactica: CYLON,Sci-Fi City,21.25,601
2024-01-03,10,Battlestar Galactica: HUMAN,Sci-Fi City,20.0,340
2024-01-03,10,Canopy Flyer,The Lost World,5.833333333333333,29
2024-01-03,10,Dino-Soarin,The Lost World,10.0,22
2024-01-03,10,Enchanted Airways,Far Far Away,5.0,79
2024-01-03,10,Jurassic Park Rapids Adventure,The Lost World,5.0,93
2024-01-03,10,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20.0,103
